system:index,aspct_16,aspct_32,aspct_4,ca_10,ca_10000,ci_16,ci_32,ci_4,control_band,crosc_16,crosc_32,crosc_4,dah,devmeanelev_16,devmeanelev_32,devmeanelev_4,dfa,diffmeanelev_16,diffmeanelev_32,diffmeanelev_4,diffopen_2,diffopen_256,diffopen_32,dis,fel,gmrph_ms_30,gmrph_ms_300,gmrph_r_30,gmrph_r_300,gmrph_r_3000,hs_st,latitude,longc_16,longc_32,longc_4,longitude,maxc_16,maxc_32,maxc_4,mbi_0p001,mbi_0p01,mbi_0p1,mca_10,mca_10000,minc_16,minc_32,minc_4,minelev_16,minelev_32,minelev_4,morpfeat_16,morpfeat_32,morpfeat_4,msp,nh,no_2,no_256,no_32,perctelev_16,perctelev_32,perctelev_4,pisrdif_2023-01-22,pisrdif_2023-02-22,pisrdif_2023-03-22,pisrdif_2023-04-22,pisrdif_2023-05-22,pisrdif_2023-06-22,pisrdif_2023-12-22,pisrdir_2023-01-22,pisrdir_2023-02-22,pisrdir_2023-03-22,pisrdir_2023-04-22,pisrdir_2023-05-22,pisrdir_2023-06-22,pisrdir_2023-12-22,planc_16,planc_32,planc_4,po_2,po_256,po_32,profc_16,profc_32,profc_4,relelev_16,relelev_32,relelev_4,relmeanelev_16,relmeanelev_32,relmeanelev_4,sl_16,sl_32,sl_4,slh,spi,stddevelev_16,stddevelev_32,stddevelev_4,stdh,swi_10,swi_10000,tpi_32,tpi_4,tri_16,tri_32,tri_4,tsc_16,tsc_32,tsc_4,twi,vlyd,vrm_16,vrm_32,vrm_4,.geo
0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,53.87547003050033,,,,-141.39398340748585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-141.39398340748585,53.87547003050033]}"
1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,64.36403716941804,,,,-163.70164719886515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-163.70164719886515,64.36403716941804]}"
2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,59.51862491771272,,,,-143.78459603630807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-143.78459603630807,59.51862491771272]}"
3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,55.3624270576389,,,,-147.86340746889374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-147.86340746889374,55.3624270576389]}"
4,306.1230163574219,325.112548828125,310.9717102050781,212.8988494873047,212.8988494873047,34.585426330566406,-5.976320743560791,31.84161376953125,1,1.999812520807609E-4,-7.952330633997917E-5,8.920406689867377E-4,0.007076491601765156,0.8992745280265808,0.3333142399787903,0.6434088945388794,23.123363864292276,2.037606716156006,1.1087443828582764,0.6343886852264404,0.02691471576690674,0.025703072547912598,0.028314709663391113,,76.38878776405332,7,6,6,5,6,42.85211944580078,59.51596516998538,-2.0447476344997995E-5,-3.1171981390798464E-5,1.5171624545473605E-4,-156.85730980931422,2.0630552899092436E-4,-1.2971985597687308E-5,9.496276616118848E-4,0.7363527417182922,0.21984665095806122,0.027398468926548958,43752.265625,306.4837341308594,-2.6771756893140264E-5,-9.772330668056384E-5,9.412923100171611E-5,70.37655639648438,69.27815246582031,74.24351501464844,5,1,5,0.04361465200781822,0.4762243628501892,1.5573389530181885,1.5383148193359375,1.547792911529541,76.4715347290039,59.406063079833984,68.62252807617188,0.23531216382980347,0.5877434015274048,0.9252911806106567,1.0660183429718018,1.2835373878479004,1.428925633430481,0.17467308044433594,0.13508334755897522,0.6675103306770325,2.049551010131836,4.072829723358154,5.484945297241211,6.038846969604492,0.03605132922530174,-0.011203131638467312,0.010325741954147816,-0.02546917088329792,1.5842536687850952,1.56401789188385,1.5761076211929321,-2.0437704733922146E-5,-3.116921288892627E-5,1.514394534751773E-4,6.012228012084961,7.110637664794922,2.1452715396881104,2.0376064777374268,1.108742117881775,0.6343849897384644,1.0226571559906006,0.4412461221218109,2.0063939094543457,3.435231924057007,9.353498458862305,2.265908718109131,3.327833652496338,0.9867219924926758,35.00071334838867,11.504901885986328,6.558015823364258,0.8647753596305847,1.594137191772461,3.047927141189575,3.5092577934265137,1.1740055084228516,49.61117172241211,49.152862548828125,58.121429443359375,8.487506866455078,3.7790582180023193,6.848222110420465E-4,0.0015886081382632256,3.53428244125098E-4,"{""type"":""Point"",""coordinates"":[-156.85730980931422,59.51596516998538]}"
5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,63.48743185081929,,,,-134.41613853098514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-134.41613853098514,63.48743185081929]}"
6,297.67388916015625,327.1136169433594,260.842041015625,583.818603515625,583.818603515625,1.1622226238250732,-34.81222152709961,16.54185676574707,1,5.72493183426559E-4,-3.3989554503932595E-4,0.004345354624092579,0.27293241024017334,0.5716115236282349,0.05929981917142868,0.4560036361217499,42.235471222692105,9.27461051940918,1.09722101688385,3.663254976272583,0.13429296016693115,0.12251424789428711,0.1507781744003296,,326.6953234671805,6,6,6,6,6,45.885223388671875,65.97762783055704,-3.9662313065491617E-4,-2.1415647643152624E-4,0.004168844316154718,-159.89760046764937,0.001012320164591074,-2.124772290699184E-4,0.005449090152978897,0.9741384983062744,0.6924025416374207,0.17758671939373016,583.818603515625,583.818603515625,-8.364501991309226E-4,-3.415748360566795E-4,0.0030651085544377565,295.79107666015625,290.1971130371094,307.111083984375,3,3,5,0.42388173937797546,0.7119408845901489,1.5036498308181763,1.3673243522644043,1.4410332441329956,70.7261962890625,51.6517448425293,57.355682373046875,0.10523910075426102,0.3545968532562256,0.8032971620559692,0.9803954362869263,1.3573929071426392,1.4645967483520508,0.015118795447051525,0.014322299510240555,0.3983931839466095,1.7231560945510864,3.7554054260253906,5.291782379150391,5.94374942779541,0.0,-0.004160246811807156,0.006290876306593418,-0.014464233070611954,1.6379427909851074,1.4898386001586914,1.5918114185333252,-3.8561609108000994E-4,-2.1322196698747575E-4,0.0036613671109080315,30.90424346923828,36.49820327758789,19.584228515625,9.274606704711914,1.0972251892089844,3.663259983062744,7.835829257965088,3.092803716659546,16.7300968170166,23.07703399658203,189.82142639160156,16.225536346435547,18.498218536376953,8.033418655395508,232.58572387695312,5.189978122711182,5.189978122711182,7.917750835418701,7.862759113311768,18.687374114990234,18.529584884643555,8.828858375549316,44.095829010009766,44.91282653808594,77.09132385253906,7.493157386779785,9.34045124053955,0.024202026426792145,0.023965580388903618,0.014046653173863888,"{""type"":""Point"",""coordinates"":[-159.89760046764937,65.97762783055704]}"
7,229.19964599609375,264.6532287597656,223.13963317871094,186.53392028808594,186.53392028808594,0.8548063039779663,-6.278756618499756,22.518253326416016,1,5.801380393677391E-5,-5.119016714161262E-5,9.345686994493008E-4,0.09896180033683777,0.5852895379066467,0.1811995953321457,0.6319601535797119,19.656102404442436,1.8291329145431519,0.7888514399528503,0.8902886509895325,0.053360819816589355,0.03896617889404297,0.05180799961090088,,198.06332495753492,6,5,5,5,5,47.12389373779297,61.79675397756429,-9.223270899383351E-5,1.6659527318552136E-5,1.0180870594922453E-4,-149.8654892186936,2.107124892063439E-4,1.8899458154919557E-5,0.001283363439142704,0.8777249455451965,0.42103853821754456,0.06782090663909912,2499.871337890625,255.15191650390625,-2.449314051773399E-4,-5.3430099796969444E-5,-2.4698596098460257E-4,188.5369873046875,188.1754913330078,194.99685668945312,2,1,5,0.03873337432742119,0.5188122391700745,1.5441159009933472,1.5091832876205444,1.5212327241897583,78.31501007080078,58.92599105834961,69.12464904785156,0.19705010950565338,0.5115764141082764,0.886356770992279,1.0393227338790894,1.319784164428711,1.452944278717041,0.1237722635269165,0.11514607816934586,0.6838817000389099,2.1380717754364014,4.2151665687561035,5.638772010803223,6.197919845581055,0.0195851419121027,-0.0027718967758119106,0.002902685897424817,-0.01894802786409855,1.5974767208099365,1.5481494665145874,1.5730407238006592,-9.217213664669544E-5,1.6651758414809592E-5,1.0143794497707859E-4,9.526337623596191,9.887836456298828,3.0664656162261963,1.829136848449707,0.7888442277908325,0.8902876377105713,1.1990247964859009,1.0103318691253662,2.823946952819824,3.5469746589660645,18.568437576293945,3.1250195503234863,4.353549957275391,1.4085965156555176,102.6897964477539,7.8266096115112305,5.549219131469727,0.7918054461479187,0.7918314337730408,3.621140241622925,4.424626350402832,1.6667150259017944,51.17692184448242,51.08096694946289,57.05846405029297,7.535198211669922,3.2890756130218506,0.0032501535024493933,0.0032281321473419666,0.00125441316049546,"{""type"":""Point"",""coordinates"":[-149.8654892186936,61.79675397756429]}"
8,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,54.80035540020097,,,,-144.2472420612731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-144.2472420612731,54.80035540020097]}"
9,270.0,270.0,270.0,100.0,100.0,,,,1,0.0,0.0,0.0,0.0,9.968070457944123E-8,0.0,3.725290298461914E-8,10.0,9.486769009248164E-19,-3.584643432780199E-18,3.3881317890172014E-20,0.0,0.0,0.0,0.043708644807338715,4.999999747378752E-5,1,1,1,1,1,45.0,64.58671012361211,0.0,0.0,0.0,-163.24578770431205,0.0,0.0,0.0,0.0,0.0,0.0,7.7962696E7,7.7962696E7,0.0,0.0,0.0,4.999999873689376E-5,4.999999873689376E-5,4.999999873689376E-5,1,1,1,0.9472509622573853,0.02637452632188797,1.5707963705062866,1.5707963705062866,1.5707963705062866,0.0,0.0,0.0,0.1420266330242157,0.42242294549942017,0.864129900932312,1.045846939086914,1.4062949419021606,1.5289429426193237,0.05211081728339195,0.01753120683133602,0.36396607756614685,1.5331902503967285,3.565433979034424,5.10223388671875,5.785262584686279,1.4669705706182867E-4,0.0,0.0,0.0,1.5707963705062866,1.5707963705062866,1.5707963705062866,0.0,0.0,0.0,-1.2631062645471203E-12,-1.2631062645471203E-12,-1.2631062645471203E-12,-1.2631062645471203E-12,-1.2631062645471203E-12,-1.2631062645471203E-12,0.0,0.0,0.0,11.338650703430176,0.0,9.517157027738588E-12,0.0,9.094947017729282E-13,-0.0013617569347843528,24.522552490234375,24.522552490234375,0.00187915307469666,4.074292373843491E-4,0.0,0.0,0.0,0.0,0.0,0.0,11.512925148010254,418.5705261230469,0.0,0.0,0.0,"{""type"":""Point"",""coordinates"":[-163.24578770431205,64.58671012361211]}"
