system:index,aspct_16_10_B0,aspct_32_10_B0,aspct_4_10_B0,ca_10000_1_B0,ca_10_1_B0,ci_16_100_B0,ci_32_100_B0,ci_4_100_B0,crosc_16_1M_B0,crosc_32_1M_B0,crosc_4_1M_B0,dah_10k_B0,devmeanelev_16_1k_B0,devmeanelev_32_1k_B0,devmeanelev_4_1k_B0,dfa_10_B0,diffmeanelev_16_100_B0,diffmeanelev_32_100_B0,diffmeanelev_4_100_B0,diffopen_256_100k_B0,diffopen_2_100k_B0,diffopen_32_100k_B0,dis_100_B0,fel_1_B0,gmrph_ms_300_1_B0,gmrph_ms_30_1_B0,gmrph_r_3000_1_B0,gmrph_r_300_1_B0,gmrph_r_30_1_B0,hs_st_100_B0,latitude,longc_16_1M_B0,longc_32_1M_B0,longc_4_1M_B0,longitude,maxc_16_1M_B0,maxc_32_1M_B0,maxc_4_1M_B0,mbi_0p001_10k_B0,mbi_0p01_10k_B0,mbi_0p1_100k_B0,mca_10000_1_B0,mca_10_1_B0,minc_16_1M_B0,minc_32_1M_B0,minc_4_1M_B0,minelev_16_1_B0,minelev_32_1_B0,minelev_4_1_B0,morpfeat_16_1_B0,morpfeat_32_1_B0,morpfeat_4_1_B0,msp_10k_B0,nh_10k_B0,no_256_10k_B0,no_2_10k_B0,no_32_10k_B0,perctelev_16_100_B0,perctelev_32_100_B0,perctelev_4_100_B0,pisrdif_2023-01-22_10k_B0,pisrdif_2023-02-22_10k_B0,pisrdif_2023-03-22_10k_B0,pisrdif_2023-04-22_10k_B0,pisrdif_2023-05-22_10k_B0,pisrdif_2023-06-22_10k_B0,pisrdif_2023-12-22_10k_B0,pisrdir_2023-01-22_1k_B0,pisrdir_2023-02-22_1k_B0,pisrdir_2023-03-22_1k_B0,pisrdir_2023-04-22_1k_B0,pisrdir_2023-05-22_1k_B0,pisrdir_2023-06-22_1k_B0,pisrdir_2023-12-22_1k_B0,planc_16_100k_B0,planc_32_100k_B0,planc_4_100k_B0,po_256_10k_B0,po_2_10k_B0,po_32_10k_B0,profc_16_1M_B0,profc_32_1M_B0,profc_4_1M_B0,relelev_16_10_B0,relelev_32_10_B0,relelev_4_10_B0,relmeanelev_16_100_B0,relmeanelev_32_100_B0,relmeanelev_4_100_B0,sl_16_100_B0,sl_32_100_B0,sl_4_100_B0,slh_10_B0,spi_10_B0,stddevelev_16_100_B0,stddevelev_32_100_B0,stddevelev_4_100_B0,stdh_10_B0,swi_10000_1k_B0,swi_10_1k_B0,tpi_32_1k_B0,tpi_4_1k_B0,tri_16_100_B0,tri_32_100_B0,tri_4_100_B0,tsc_16_100_B0,tsc_32_100_B0,tsc_4_100_B0,twi_1k_B0,vlyd_10_B0,vrm_16_100k_B0,vrm_32_100k_B0,vrm_4_100k_B0,.geo
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.87547003050033,,,,-141.39398340748585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-141.39398340748585,53.87547003050033]}"
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.36403716941804,,,,-163.70164719886515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-163.70164719886515,64.36403716941804]}"
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.51862491771272,,,,-143.78459603630807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-143.78459603630807,59.51862491771272]}"
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3624270576389,,,,-147.86340746889374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-147.86340746889374,55.3624270576389]}"
4,3061,3251,3109,212.8988494873047,212.8988494873047,3458,-597,3184,199,-79,892,70,899,333,643,231,203,110,63,2570,2691,2831,,76,6,7,6,5,6,4285,59.51596516998538,-20,-31,151,-156.85730980931422,206,-12,949,7363,2198,2739,306.4837341308594,43752.265625,-26,-97,94,70,69,74,5,1,5,436,4762,15383,15573,15477,7647,5940,6862,2353,5877,9252,10660,12835,14289,1746,135,667,2049,4072,5484,6038,36,-1120,1032,-2546,15640,15842,15761,-20,-31,151,60,71,21,203,110,63,102,44,200,34,93,226,332,98,350,6558,11504,864,1594,304,350,117,4961,4915,5812,8487,37,68,158,35,"{""type"":""Point"",""coordinates"":[-156.85730980931422,59.51596516998538]}"
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.48743185081929,,,,-134.41613853098514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-134.41613853098514,63.48743185081929]}"
6,2976,3271,2608,583.818603515625,583.818603515625,116,-3481,1654,572,-339,4345,2729,571,59,456,422,927,109,366,12251,13429,15077,,326,6,6,6,6,6,4588,65.97762783055704,-396,-214,4168,-159.89760046764937,1012,-212,5449,9741,6924,17758,583.818603515625,583.818603515625,-836,-341,3065,295,290,307,3,3,5,4238,7119,13673,15036,14410,7072,5165,5735,1052,3545,8032,9803,13573,14645,151,14,398,1723,3755,5291,5943,0,-416,629,-1446,14898,16379,15918,-385,-213,3661,309,364,195,927,109,366,783,309,1673,230,1898,1622,1849,803,2325,5189,5189,7917,7862,1868,1852,882,4409,4491,7709,7493,93,2420,2396,1404,"{""type"":""Point"",""coordinates"":[-159.89760046764937,65.97762783055704]}"
7,2291,2646,2231,186.53392028808594,186.53392028808594,85,-627,2251,58,-51,934,989,585,181,631,196,182,78,89,3896,5336,5180,,198,5,6,5,5,5,4712,61.79675397756429,-92,16,101,-149.8654892186936,210,18,1283,8777,4210,6782,255.15191650390625,2499.871337890625,-244,-53,-246,188,188,194,2,1,5,387,5188,15091,15441,15212,7831,5892,6912,1970,5115,8863,10393,13197,14529,1237,115,683,2138,4215,5638,6197,19,-277,290,-1894,15481,15974,15730,-92,16,101,95,98,30,182,78,89,119,101,282,35,185,312,435,140,1026,5549,7826,791,791,362,442,166,5117,5108,5705,7535,32,325,322,125,"{""type"":""Point"",""coordinates"":[-149.8654892186936,61.79675397756429]}"
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.80035540020097,,,,-144.2472420612731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-144.2472420612731,54.80035540020097]}"
9,2700,2700,2700,100.0,100.0,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,4,0,1,1,1,1,1,4500,64.58671012361211,0,0,0,-163.24578770431205,0,0,0,0,0,0,7.7962696E7,7.7962696E7,0,0,0,0,0,0,1,1,1,9472,263,15707,15707,15707,0,0,0,1420,4224,8641,10458,14062,15289,521,17,363,1533,3565,5102,5785,0,0,0,0,15707,15707,15707,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,24522,24522,1,0,0,0,0,0,0,0,11512,4185,0,0,0,"{""type"":""Point"",""coordinates"":[-163.24578770431205,64.58671012361211]}"
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.517226522175115,,,,-168.87857819891605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-168.87857819891605,63.517226522175115]}"
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.677635923001375,,,,-162.94988871070746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-162.94988871070746,63.677635923001375]}"
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.45240346305135,,,,-149.08836697097715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-149.08836697097715,57.45240346305135]}"
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.38545176618422,,,,-135.2880909013146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-135.2880909013146,68.38545176618422]}"
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.19342352610917,,,,-147.21645940676018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-147.21645940676018,57.19342352610917]}"
15,1926,2181,1987,432.37811279296875,432.37811279296875,3579,4797,1462,1546,1230,2768,2172,645,1001,200,327,1163,3753,110,12500,2495,3698,,718,4,3,3,3,6,5303,60.533064622621026,673,795,956,-158.5750028846823,1823,1301,2783,6953,2691,3710,432.37811279296875,432.37811279296875,396,724,941,641,566,706,5,5,5,9205,9602,14219,15583,15179,6713,8064,5628,2102,5246,8535,9797,12126,13433,1492,281,1129,2857,4951,6273,6751,91,-930,-952,-1317,15469,15832,15548,646,775,896,776,1519,123,1163,3753,110,943,736,1186,1267,996,1801,3749,550,6921,5228,5228,2549,979,2144,5305,561,6515,6054,7788,7531,52,1903,4680,401,"{""type"":""Point"",""coordinates"":[-158.5750028846823,60.533064622621026]}"
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.30300968306295,,,,-160.2013857098574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[-160.2013857098574,54.30300968306295]}"
17,2204,1343,1799,1182.812255859375,1182.812255859375,2436,1178,-2361,38,12,-109,20,473,733,-320,782,18,42,-2,188,-59,-95,,173,1,1,1,1,1,4519,66.99723319933602,36,4,22,-146.34549314309837,47,13,28,-733,-78,-79,3789.799560546875,55198.9140625,27,4,-115,172,171,173,1,1,2,3531,6765,15666,15710,15705,6557,7443,3584,820,3266,8156,10132,14281,15574,0,1,248,1307,3351,4985,5741,0,-2215,-756,3658,15685,15705,15695,36,4,22,12,18,1,18,42,-2,9,9,17,26,42,38,57,8,1558,11517,14196,54,-44,42,71,9,4502,4672,1416,12703,12,7,7,0,"{""type"":""Point"",""coordinates"":[-146.34549314309837,66.99723319933602]}"
18,1979,1855,2012,2954.659912109375,2954.659912109375,-2334,-1021,-760,-1209,-308,-1201,2310,-352,-358,-196,2302,-735,-1294,-127,-7812,-5446,-5519,,571,6,6,6,6,6,5615,67.22132627609311,101,0,-1213,-147.93926305039798,102,136,-755,-8746,-4388,-7332,2954.659912109375,2954.659912109375,-1210,-444,-1658,534,503,560,3,3,3,3476,6738,15542,15980,15649,3682,3461,4444,740,3138,7755,9660,13580,14887,0,7,517,2064,4318,5783,6403,0,576,172,479,14761,15435,15097,95,0,-1107,363,673,104,-735,-1294,-127,1184,1016,1405,973,7830,2087,3615,649,4238,7015,7015,-2629,-2665,2213,3840,661,4400,4930,2563,9318,471,791,1157,118,"{""type"":""Point"",""coordinates"":[-147.93926305039798,67.22132627609311]}"
