scaled_id,s_mean,s_std,s_min,s_max,s_p1,s_p5,s_p10,s_p25,s_p50,s_p75,s_p90,s_p95,s_p99
aspct_16_10k,1937573.1155101154,1022654.7983465722,-306407.0,3996208.0,45993.530000000006,218766.45,412745.3,1055827.75,2097075.5,2700000.0,3214042.1000000006,3396360.3000000007,3553569.29
aspct_32_10k,1931692.453339134,1033796.8516634714,-298957.0,3822570.0,49558.58000000001,200000.5,393744.9,1026396.5,2089581.0,2700000.0,3230041.900000001,3402125.1,3561910.29
aspct_4_10k,1952352.879921688,1017755.1364491454,-406154.0,4033020.0,48806.94,222377.05,431303.5000000002,1068553.5,2142620.5,2700000.0,3210090.4,3384796.2,3560036.69
ca_10_1,24776.884280426737,546249.7090773863,-82698.0,38807452.0,-15.449999999999804,100.0,100.0,278.25,1285.0,3715.75,10231.5,24847.0,226082.99999999956
ci_16_10k,-8198.433157701262,199894.77108123744,-857205.0,784992.0,-541435.7999999999,-356740.0,-258706.0,-113811.0,-2039.0,100418.0,228821.0,325851.0,484073.99999999907
ci_32_10k,-5115.962720097146,211354.26086710967,-908766.0,773335.0,-486126.02,-362146.3,-277392.19999999995,-130374.5,-4656.0,115225.0,266600.4000000001,363139.29999999976,513380.1799999998
ci_4_10k,-3172.1518877297567,179249.55929863217,-999999.0,862070.0,-541880.73,-327664.15,-205490.6,-68378.5,5486.0,71164.5,186082.70000000004,288455.04999999993,480339.20999999956
crosc_16_10M,707.7212312377637,8912.351611016567,-82890.0,85211.0,-25107.32,-9758.65,-4511.799999999999,-669.0,0.0,1277.25,6530.700000000001,12956.050000000016,37887.0
crosc_32_10M,513.2705025016315,4749.034727437606,-31666.0,47492.0,-12915.91,-5426.35,-2609.4999999999995,-336.75,0.0,798.75,4126.700000000008,7884.550000000005,19207.019999999975
crosc_4_10M,822.1165977811617,24329.74613383156,-321979.0,302003.0,-75730.37,-26732.949999999997,-11726.899999999998,-1969.75,0.0,3365.75,13625.000000000007,29087.450000000004,89546.31999999992
dah_100k,219.1762018707853,16282.413783304431,-77116.0,73680.0,-50587.01,-29667.4,-16039.7,-3016.5,0.0,3524.75,16981.800000000003,29610.0,49831.27999999997
devmeanelev_16_10k,-93.85947356971938,4765.456065621968,-28791.0,72144.0,-12599.97,-7936.4,-5836.7,-2261.75,0.0,2026.0,5359.200000000004,7789.750000000002,13110.07
devmeanelev_32_10k,-163.67902980204482,5611.115015964078,-26869.0,142390.0,-13297.36,-9057.449999999999,-6777.0,-3133.0,0.0,2518.0,6559.100000000002,9039.950000000006,14228.58999999999
devmeanelev_4_10k,5.085055470959321,3704.7824197234972,-20871.0,23075.0,-11431.56,-6186.549999999999,-3879.7,-1192.5,0.0,1231.5,3736.0000000000073,6054.800000000003,11088.539999999994
dfa_10k,12584038.190699805,117521919.73877889,-979464832.0,2147483647.0,-795828.5,99982.5,100000.0,203083.0,868573.0,2605994.0,6979501.0,17326571.0,197874534.40000144
diffmeanelev_16_10k,979.2442897541875,82481.29909690222,-755695.0,873354.0,-233444.91999999998,-116809.05,-63345.299999999996,-12421.75,0.0,10837.0,56850.400000000016,117110.15000000001,309604.7299999994
diffmeanelev_32_10k,3370.0827713726344,182292.30897553315,-1103315.0,1754996.0,-510182.05,-259064.69999999998,-151869.3,-33112.25,0.0,22609.75,143233.80000000016,283306.4000000002,725269.2599999979
diffmeanelev_4_10k,63.18707852947575,15247.963953124576,-193936.0,220848.0,-48114.71,-19949.8,-10208.8,-2161.0,0.0,2239.75,9507.100000000002,19410.85000000002,51303.37999999993
diffopen_256_100k,177.44311507504895,8123.783507621713,-69938.0,86581.0,-23584.07,-11686.25,-6755.699999999999,-1619.0,0.0,1548.0,6574.200000000012,12746.800000000003,28793.049999999996
diffopen_32_100k,2.820925341745531,5597.136904659573,-71567.0,84258.0,-17602.67,-7263.599999999999,-3750.3999999999996,-908.0,0.0,916.75,3635.2000000000044,7044.049999999992,18547.21999999998
dis_10k,14783.702583490864,83584.3477940616,0.0,1131436.0,0.0,0.0,0.0,143.0,1620.0,5686.0,17531.400000000023,55352.0,144185.0
fel_10k,4692253.2458490785,5158121.963270279,-29999.0,54124132.0,0.0,0.0,4192.800000000044,728711.0,2982767.0,7017565.0,12105938.6,15210169.999999998,21835602.88000007
gmrph_ms_30_cat,5.057640021750951,2.4387973065473174,1.0,10.0,1.0,1.0,1.0,3.0,6.0,6.0,8.0,9.0,10.0
gmrph_ms_300_cat,5.074823273518216,2.4289450257675536,1.0,10.0,1.0,1.0,1.0,4.0,6.0,6.0,8.0,9.0,10.0
gmrph_r_30_cat,4.8897226753670475,2.0648655291184332,1.0,9.0,1.0,1.0,1.0,4.0,6.0,6.0,6.0,7.0,8.0
gmrph_r_300_cat,4.874061990212072,2.2527908822753986,1.0,10.0,1.0,1.0,1.0,3.0,6.0,6.0,7.0,8.0,9.0
gmrph_r_3000_cat,5.15073409461664,2.485001398314695,1.0,10.0,1.0,1.0,1.0,3.0,6.0,7.0,8.0,9.0,9.0
hs_st_10k,460435.2668044377,100167.34627642587,6060.0,1073437.0,166095.9,313507.0,375115.6,435648.75,450000.0,474776.5,566763.1000000001,654227.55,802698.2999999997
longc_16_10M,-492.4078747008919,8716.66323196783,-71219.0,109054.0,-27928.38,-13185.199999999999,-7779.099999999999,-1775.75,0.0,712.0,4745.0,10574.650000000014,30588.569999999898
longc_32_10M,-341.76441157276486,4900.653219742382,-30274.0,42538.0,-15352.63,-7995.299999999999,-5070.5,-1176.0,-14.0,320.75,3035.100000000002,6593.1000000000095,17467.839999999997
longc_4_10M,-460.2837720252339,22453.280525249527,-281577.0,323813.0,-72043.33,-29593.55,-15447.4,-3504.25,0.0,2743.75,12452.100000000002,25477.50000000004,71727.07999999999
maxc_16_10M,3988.489558407657,10032.556800732049,-33055.0,116599.0,-7115.5599999999995,-1607.6999999999998,-440.0,0.0,622.0,3617.0,12169.000000000015,21941.35,53218.44999999999
maxc_32_10M,2327.384707417881,5430.950369507587,-15335.0,78468.0,-3640.96,-871.5999999999995,-228.69999999999993,0.0,310.0,2217.25,7643.100000000002,13164.450000000003,26674.539999999964
maxc_4_10M,10077.092560365456,25195.25490319403,-83456.0,358878.0,-15924.34,-3901.0,-973.6999999999999,0.0,2319.5,10007.25,28299.500000000004,51421.600000000035,127080.28
mbi_0p001_10k,171.25984337611484,6026.21191298964,-11087.0,11354.0,-9488.14,-8896.7,-8235.7,-5582.75,0.0,5757.0,8455.200000000004,9272.0,10058.07
mbi_0p01_10k,54.4033065042419,2745.9718482810804,-9008.0,9932.0,-7193.7,-4797.75,-3342.8999999999996,-1175.75,0.0,1243.75,3435.800000000003,5069.35,7590.909999999996
mbi_0p1_10k,7.445290406787035,656.3587308239975,-5109.0,6516.0,-2161.2599999999998,-865.0,-483.0,-133.0,0.0,142.0,497.7000000000007,928.1000000000022,2252.0699999999997
mca_10_1,1698526.9052539975,8519577.312521867,-58645.0,235968624.0,249.84,585.6,970.4000000000001,2399.0,11239.0,142361.0,1678026.0,8083734.199999934,34912296.0
mca_10000_1,1172582.313601741,6256405.808247314,-62556.0,129568328.0,160.89,381.0,612.0,1483.0,4179.0,29203.25,1001414.0,5473978.049999742,30033616.0
minc_16_10M,-3773.183380465521,8396.62834688133,-85745.0,44787.0,-37949.85,-20864.35,-13239.3,-4501.5,-746.0,0.0,513.4000000000015,2076.750000000002,10114.349999999999
minc_32_10M,-2155.8868827496194,4635.900504742112,-36508.0,32580.0,-19977.35,-11628.499999999998,-7823.099999999999,-2897.5,-444.0,0.0,312.7000000000007,1481.1000000000022,6378.279999999999
minc_4_10M,-9715.263432673482,24937.43504307909,-409991.0,186753.0,-109579.74,-52489.8,-31205.199999999997,-9999.0,-1872.5,0.0,1725.5000000000036,5398.550000000005,23677.30999999996
minelev_16_10k,4197955.5779856425,4850580.351474576,-29999.0,53505684.0,0.0,0.0,1.0,458464.0,2531357.0,6394542.5,10929301.200000001,14082831.9,20534108.819999997
minelev_32_10k,3980937.7378725256,4660178.458357775,-29999.0,52872116.0,0.0,0.0,1.0,406251.0,2350397.0,6062421.0,10434355.00000001,13426937.700000001,19835412.51999999
minelev_4_10k,4412743.117685447,5037710.888431012,-29999.0,53959692.0,0.0,0.0,1.0,528250.75,2705093.0,6657244.0,11548068.600000001,14787198.0,21185276.599999964
morpfeat_16_cat,2.6340402392604676,1.6274625892978327,1.0,6.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,5.0,5.0
morpfeat_32_cat,2.2980967917346384,1.6294119569384213,1.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0
morpfeat_4_cat,3.280478520935291,1.3946838800797652,1.0,6.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0
msp_10k,5718.437568696417,3093.755689222569,4.0,10090.0,128.85,622.85,1203.4,2982.0,5992.5,8713.0,9630.0,9732.0,9879.0
nh_10k,3657.7093866783907,2961.4919691365426,-58.0,9994.0,63.0,137.0,192.70000000000005,861.0,3147.0,6040.75,8179.0,8968.15,9727.03
no_256_100k,151952.3212964977,7620.1858141485345,90867.0,177627.0,120373.23,136081.6,142657.2,150551.5,154980.0,156513.75,157079.0,157079.0,157790.14
no_32_100k,154586.90482923645,4071.429630822419,102113.0,177672.0,137989.82,147047.6,150071.0,153685.25,155951.0,156979.0,157079.0,157392.4,159802.77
perctelev_16_10k,435840.3890580814,225256.98113693966,-50660.0,999179.0,0.0,0.0,0.0,347733.0,490645.5,556695.0,671279.3,764060.6000000002,928451.0099999999
perctelev_32_10k,439587.9011311725,239528.83753644998,-48532.0,999785.0,0.0,0.0,0.0,310881.0,487361.0,582494.5,716186.8,807080.2500000001,946042.1199999999
perctelev_4_10k,429054.6788122689,206137.66476761334,-48567.0,999120.0,0.0,0.0,0.0,399066.25,493508.5,529686.25,604078.4000000001,691972.0000000001,876473.8899999999
pisrdif_2023-01-22_100k,15523.785077224276,8549.767476692308,0.0,45650.0,0.0,1175.8000000000004,3429.2000000000003,8941.25,16496.5,21649.0,25403.300000000007,28324.15,38056.07
pisrdif_2023-02-22_100k,44437.023711115944,13492.425226699534,19391.0,79182.0,21621.93,24175.95,26155.5,33521.5,44302.0,54517.25,62385.4,67521.4,75646.93999999999
pisrdif_2023-03-22_100k,83458.28453339134,7498.306323646079,48350.0,101039.0,64640.93,71702.15,75135.4,77842.75,83113.5,89108.0,93253.7,95756.45,99461.14
pisrdif_2023-04-22_100k,99933.12856210572,7574.043171294083,53481.0,111250.0,76058.75,84657.85,89495.2,96516.0,101629.5,105615.75,107677.4,108727.35,110518.19
pisrdif_2023-05-22_100k,129504.5374157059,12651.319688357606,69537.0,157583.0,93561.48,105641.05,112468.9,122042.25,131196.0,138857.5,143477.4,147721.35,152785.91
pisrdif_2023-06-22_100k,143707.42658255383,14907.802308933804,76608.0,183599.0,104995.09,117681.45,124789.90000000001,135709.0,144640.0,151666.75,161027.00000000003,172543.40000000002,179338.75
pisrdif_2023-12-22_100k,9134.035566673918,8102.200686522596,0.0,30984.0,0.0,0.0,0.0,0.0,8770.5,15528.75,20561.500000000004,23336.35,27611.119999999995
pisrdir_2023-01-22_100k,9130.192408092234,16178.095038589294,-3152.0,131568.0,0.0,0.0,0.0,0.0,860.5,11913.25,28976.800000000054,43664.950000000004,77190.4
pisrdir_2023-02-22_100k,50178.950076136614,41551.88879835913,-1464.0,278614.0,0.0,0.0,794.6000000000008,19534.25,42420.5,69934.75,103873.1,133721.50000000003,193186.43999999997
pisrdir_2023-03-22_100k,173320.43909071133,75722.96709942876,-2476.0,503869.0,0.0,57463.200000000026,90947.0,124850.25,169773.0,215897.75,266159.0,304383.9000000001,393117.7499999998
