Variable,File prefix,File Suffix,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Lighting/Visibility,,,,,,,,,,,,,
Diurnal Anisotropic Heating,dah,none,,,,,,,,,,,
Potential Incoming Solar Radiation,,,,,,,,,,,,,
Direct,pisrdir,22nd of each Month,,,,,,,,,,,
Diffuse,pisrdif,22nd of each Month,,,,,,,,,,,
Topographic Openness,,,,,,,,,,,,,
Positive,po,"2, 32, 256",,,,,,,,,,,
Negative,no,"2, 32, 256",,,,,,,,,,,
Difference,diffopen,"2, 32, 256",,,,,,,,,,,
Hillshades,,,,,,,,,,,,,
Standard,hs_st,none,,,,,,,,,,,
Combined  Shading,hs_cs,none,,,,,,,,,,,
,,,,,,,,,,,,,
Morphometry,,,,,,,,,,,,,
Convergence index,ci,"2, 4, 8, 16, 32",,,,,,,,,,,
Terrain surface convexity,tsc,"2, 4, 8, 16, 32",,,,,,,,,,,
Multiscale topographic position index,tpi,"2, 32",tpi is only calculated over these two distances,,,,,,,,,,
Terrain ruggedness index,tri,"2, 4, 8, 16, 32",,,,,,,,,,,
Vector ruggedness index,vrm,"2, 4, 8, 16, 32",,,,,,,,,,,
Mass balance index,mbi,"0.001, 0.01, 0.1",,,,,,,,,,,
Slope (radians),slopeRadians,none,,,,,,,,,Morphometry,,
Slope height,hac,none,,,,,,,,,Morphometric Features,morpfeat,"2, 4, 8, 16, 32"
Valley depth,hbc,none,,,,,,,,,Generalized Elevation,genelev,"2, 4, 8, 16, 32"
Normalized height,hn,none,,,,,,,,,Slope,sl,"2, 4, 8, 16, 32"
Standardized height,sth,none,,,,,,,,,Aspect,aspct,"2, 4, 8, 16, 32"
Mid-slope position,msp,none,,,,,,,,,Profile Curvature,profc,"2, 4, 8, 16, 32"
Morphometry,,,,,,,,,,,Plan Curvature,planc,"2, 4, 8, 16, 32"
Morphometric Features,morpfeat,"2, 4, 8, 16, 32",,,,,,,,,Longitudinal Curvature,longc,"2, 4, 8, 16, 32"
Generalized Elevation,genelev,"2, 4, 8, 16, 32",,,,,,,,,Cross-sectional Curvature,crosc,"2, 4, 8, 16, 32"
Slope,sl,"2, 4, 8, 16, 32",,,,,,,,,Maximum Curvature,maxic,"2, 4, 8, 16, 32"
Aspect,aspct,"2, 4, 8, 16, 32",,,,,,,,,Minimum Curvature,minic,"2, 4, 8, 16, 32"
Profile Curvature,profc,"2, 4, 8, 16, 32",,,,,,,,,,,
Plan Curvature,planc,"2, 4, 8, 16, 32",,,,,,,,,,,
Longitudinal Curvature,longc,"2, 4, 8, 16, 32",,,,,,,,,,,
Cross-sectional Curvature,crosc,"2, 4, 8, 16, 32",,,,,,,,,,,
Maximum Curvature,maxic,"2, 4, 8, 16, 32",,,,,,,,,,,
Minimum Curvature,minic,"2, 4, 8, 16, 32",,,,,,,,,,,
Focal statistics,,,,,,,,,,,,,
Mean Elevation,meanelev,"2, 4, 8, 16, 32",,,,,,,,,,,
Minimum Elevation,minelev,"2, 4, 8, 16, 32",,,,,,,,,,,
Elevation Standard Deviation,stddev,"2, 4, 8, 16, 32",,,,,,,,,,,
Percentile Elevation,percentile,"4, 8, 16, 32",,,,,,,,,,,
Difference from Mean Elevation,diffmeanelev,"2, 4, 8, 16, 32",,,,,,,,,,,
Deviance from Mean Elevation,devmeanelev,"2, 4, 8, 16, 32",,,,,,,,,,,
Relative Elevation,relelev,"2, 4, 8, 16, 32",,,,,,,,,,,
Relative Mean Elevation,relmeanelev,"2, 4, 8, 16, 32",,,,,,,,,,,
Geomorphons,,,,,,,,,,,,,
Radius,gmrph_radius,"30, 300, 3000",,,,,,,,,,,
Multiscale  ,gmrph_ms,"30, 300",,,,,,,,,,,
,,,,,,,,,,,,,
Hydrology,,,,,,,,,,,,,
Topographic wetness index,twi,none,,,,,,,,,,,
Stream power index,spi,none,,,,,,,,,,,
Saga wetness index,,,,,,,,,,,,,
Catchment Area,ca,none,,,,,,,,,,,
Catchment Slope,cs,none,,,,,,,,,,,
Modified Catchment Area,mca,"10, 10000",,,,,,,,,,,
Saga Wetness Index,swi,"10, 10000",,,,,,,,,,,
Channel Networks,,,"I'm not sure about keeping these variables yet… They were fun to make, but may be superceeded by the normalized height equations above. ",,,,,,,,,,
Strahler Order,strordr,"2,3,4,5,6",Don't actually use these layers in analysis. They are nonsensical intermediate products. Kept for transparency. ,,,,,,,,,,
Vertical Distance to Channel Network,vdcn,"2,3,4,5,6",,,,,,,,,,,
Base Level,bl,"2,3,4,5,6",,,,,,,,,,,
Valley Depth,vd ,"2,3,4,5,6",,,,,,,,,,,
Ridge Height,rdgh,"2,3,4,5,6",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Total # of files,183,,,,,,,,,,
,,Distinct # of covariates,46,,,,,,,,,,
,,Total directory size,5.6 TB,,,,,,,,,,
