Filename,Type,NoData,Width,Height,EPSG,Overviews,Min,p_0_1,p_0_5,p_1,p_5,p_10,p_25,p_50,p_75,p_90,p_95,p_99,p_99_5,p_99_9,Max
aspct_16,float32,-3.0000000054977558e+38,372617,197876,3338,4,-234.2609405517578,-6.4220327949523925,5.048807454109192,11.37882947921753,37.4249382019043,60.422542572021484,118.08804702758789,204.85789489746094,270.0,305.074951171875,325.38946533203125,349.1357116699219,355.1506042480469,366.30049011230494,710.9823608398438
aspct_32,float32,-3.0000000054977558e+38,372617,197876,3338,4,-205.91436767578125,-9.867042236328125,1.2287461042404175,7.11087737083435,30.76974868774414,52.64311599731445,112.49002075195312,205.8673858642578,270.0,312.68231201171875,331.65081787109375,353.16998291015625,358.7495620727541,369.44948516845716,561.5225830078125
aspct_4,float32,-3.0000000054977558e+38,372617,197876,3338,4,-175.57603454589844,2.9025941324234017,15.298621320724488,22.763851165771484,53.14617919921875,77.99658203125,132.4717559814453,199.9950714111328,270.0,287.89630126953125,310.3822479248047,338.3133331298827,345.3725891113281,357.3257174682626,607.7776489257812
ca_10,float32,-3.0000000054977558e+38,372617,197876,3338,4,-7325019.5,-197343.4921875,-52799.386328124994,-25840.328906249997,-1052.386474609375,100.0,643.4970397949219,2391.577880859375,8021.89111328125,31633.73046875,82641.43359375,483122.9374999907,891752.9343750011,3063984.890000075,73985312.0
ca_10000,float32,-3.0000000054977558e+38,372617,197876,3338,4,-7325019.5,-197343.4921875,-52799.386328124994,-25840.328906249997,-1052.386474609375,100.0,643.4970397949219,2391.577880859375,8021.89111328125,31633.73046875,82641.43359375,483122.9374999907,891752.9343750011,3063984.890000075,73985312.0
ci_16,float32,-3.0000000054977558e+38,372617,197876,3338,4,-150.5012969970703,-84.43306866455077,-71.06379619598388,-58.09476554870605,-30.727729511260986,-22.54342403411865,-10.087873458862305,-0.2427256628870964,8.604216575622559,20.019812965393072,27.644927406311012,40.77034355163573,45.107345466613765,53.26011191940327,177.5784912109375
ci_32,float32,-3.0000000054977558e+38,372617,197876,3338,4,-143.98797607421875,-82.97856170654298,-69.59650825500488,-56.0128556060791,-36.51293601989746,-27.81210784912109,-13.21664810180664,-0.7095797061920166,10.99201488494873,26.02603988647462,35.259415054321266,49.947513732910124,54.679228019714316,63.68764397430476,203.01007080078125
ci_4,float32,-3.0000000054977558e+38,372617,197876,3338,4,-193.71160888671875,-85.42952278137207,-62.45180187225342,-46.04082889556885,-11.14221978187561,-7.890552282333374,-3.358527719974518,-0.051016271114349365,2.8125837445259094,6.57108998298645,9.156997919082642,13.78870592117309,15.373171448707573,18.539392366409373,195.88796997070312
crosc_16,float32,-3.0000000054977558e+38,372617,197876,3338,4,-0.01609758660197258,-0.003552459143102169,-0.002575426734983921,-0.0020882820710539816,-0.0008757458417676389,-0.0004147510335315019,-5.892022636544425e-05,0.0,0.00010833941996679641,0.0005715701263397932,0.0011688885278999805,0.002796513494104147,0.0034153807093389513,0.004658739739097688,0.02304955944418907
crosc_32,float32,-3.0000000054977558e+38,372617,197876,3338,4,-0.007384052500128746,-0.0021719103702344,-0.0015948134881909935,-0.0013015692122280596,-0.000551559787709266,-0.00026431167498230934,-3.603939512686338e-05,0.0,7.375049608526751e-05,0.00039730503340251744,0.0007750343647785485,0.001729792705737053,0.00207951391348616,0.002790682723280053,0.007733147591352463
