Title	Category	File Prefix	File Suffix (numbers represent neighborhood sizes, can be adjusted for 10m resolution)	Owner-Generator	Location	Data Source
Diurnal Anisotropic Heating	Lighting/Visibility	dah	none			
Potential Incoming Solar Radiation - Direct	Lighting/Visibility	psirdir	22nd of each month			
Potential Incoming Solar Radiation - Diffuse	Lighting/Visibility	psirdiff	22nd of each month			
Topographic Openness - Positive	Lighting/Visibility	po	2, 32, 256			
Topographic Openness - Negative	Lighting/Visibility	no	2, 32, 256			
Hillshade - Standard	Lighting/Visibility	hs_st	none			
Hillshade - Combined Shading	Lighting/Visibility	hs_cs	none			
Convergence Index	Morphometry	ci	2, 4, 8, 16, 32			
Terrain Surface Convexivity	Morphometry	tic	2, 4, 8, 16, 32			
Multiscale Topographic Position Index	Morphometry	mtpi	2, 32			
Terrain Ruggedness Index	Morphometry	tri	2, 4, 8, 16, 32			
Vector Ruggedness Index	Morphometry	vri	2, 4, 8, 16, 32			
Mass Balance Index	Morphometry	mbi	0.001, 0.01, 0.1			
Slope (Radians)	Morphometry	sloperadians	none			
Morphometric Features	Morphometry	morphfeat	2, 4, 8, 16, 32			
General Elevation	Morphometry	geneelev	2, 4, 8, 16, 32			
Slope	Morphometry	slope	2, 4, 8, 16, 32			
Aspect	Morphometry	aspect	2, 4, 8, 16, 32			
Profile Curvature	Morphometry	profc	2, 4, 8, 16, 32			
Plan Curvature	Morphometry	planc	2, 4, 8, 16, 32			
Longitudinal Curvature	Morphometry	longc	2, 4, 8, 16, 32			
Cross-Sectional Curvature	Morphometry	crosc	2, 4, 8, 16, 32			
Maximum Curvature	Morphometry	maxic	2, 4, 8, 16, 32			
Minimum Curvature	Morphometry	minic	2, 4, 8, 16, 32			
Mean Elevation	Focal Statistics	meanelev	2, 4, 8, 16, 32			
Minimum Elevation	Focal Statistics	minelev	2, 4, 8, 16, 32			
Elevation Standard Deviation	Focal Statistics	stddev	2, 4, 8, 16, 32			
Percentile Elevation	Focal Statistics	percentelev	2, 4, 8, 16, 32			
Difference From Mean Elevation	Focal Statistics	diffmeanelev	2, 4, 8, 16, 32			
Deviance From Mean Elevation	Focal Statistics	devmeanelev	2, 4, 8, 16, 32			
Relative Elevation	Focal Statistics	releelev	2, 4, 8, 16, 32			
Relative Mean Elevation	Focal Statistics	relemeanelev	2, 4, 8, 16, 32			
Radius	Geomorphons	gmrph_radius	30, 300, 3000			
Multiscale	Geomorphons	gmrph_ms	30, 300, 3000			
Topographic Wetness Index	Hydrology	twi	none			
Stream Power Index	Hydrology	spi	none			
Saga Wetness Index - Catchment Area	Hydrology	ca	none			
Saga Wetness Index - Catchment Slope	Hydrology	cs	none			
Saga Wetness Index - Modified Catchment Area	Hydrology	mca	10, 10000			
Saga Wetness Index	Hydrology	swi	10, 10000			
Channel Networks - Strahler Order	Hydrology	strordr	2, 3, 4, 5, 6			
Channel Networks - Vertical Distance to Channel Network	Hydrology	vdcn	2, 3, 4, 5, 6			
Channel Networks - Base Level	Hydrology	bl	2, 3, 4, 5, 6			
Channel Networks - Valley Depth	Hydrology	vd	2, 3, 4, 5, 6			
Channel Networks - Ridge Height	Hydrology	rh	2, 3, 4, 5, 6			
