top_absence,abundance,type,lifeform,target_abbr,target,constituents
TRUE,FALSE,diagnostic species set,1. needleleaf tree,abies,Fir Trees,Abies
TRUE,FALSE,diagnostic species set,1. needleleaf tree,abies,Fir Trees,Abies amabilis
TRUE,FALSE,diagnostic species set,1. needleleaf tree,abies,Fir Trees,Abies lasiocarpa
TRUE,FALSE,diagnostic species set,1. needleleaf tree,calnoo,Alaska Yellow Cedar,Callitropsis
TRUE,FALSE,diagnostic species set,1. needleleaf tree,calnoo,Alaska Yellow Cedar,Callitropsis nootkatensis
TRUE,FALSE,diagnostic species set,1. needleleaf tree,larlar,Tamarack,Larix
TRUE,FALSE,diagnostic species set,1. needleleaf tree,larlar,Tamarack,Larix laricina
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Abies
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Abies amabilis
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Abies lasiocarpa
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Callitropsis
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Callitropsis nootkatensis
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Larix
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Larix laricina
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Picea
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Picea ×lutzii
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Picea glauca
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Picea mariana
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Picea sitchensis
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Pinus
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Pinus contorta
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Pinus contorta var. contorta
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Pinus contorta var. latifolia
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Taxus
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Taxus brevifolia
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Thuja
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Thuja plicata
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,tree needleleaf
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Tsuga
